config,hypo,universe,action_scale,l2,K,cvar_weight,cvar_alpha,residual_l2,vol_floor,features,stress_power,ensemble,val_cvar,val_dv,val_excess,test_cvar,test_dv,test_excess,test_seed_std
C_as0.5_vf0.25_rl2100.0_cw3.0,combo,slv,0.5,0.001,8,3.0,0.95,100.0,0.25,full,0.0,False,0.0006260940285996386,0.006563300201661867,-0.005937206173062228,0.15428228475805797,0.15494845435326088,-0.000666169595202909,0.0013789602910082017
C_as0.5_vfNone_rl20.0_cw1.0,combo,slv,0.5,0.001,8,1.0,0.95,0.0,,full,0.0,False,0.005741425221791558,0.006563300201661867,-0.0008218749798703092,0.17211408355892188,0.15494845435326088,0.017165629205661004,0.022188959099157003
C_as0.5_vfNone_rl20.0_cw3.0,combo,slv,0.5,0.001,8,3.0,0.95,0.0,,full,0.0,False,-0.0018088617598396774,0.006563300201661867,-0.008372161961501545,0.16544310851666974,0.15494845435326088,0.010494654163408862,0.01705331673328004
C_as0.5_vfNone_rl210.0_cw1.0,combo,slv,0.5,0.001,8,1.0,0.95,10.0,,full,0.0,False,0.0014313191936370171,0.006563300201661867,-0.00513198100802485,0.15523065756518964,0.15494845435326088,0.00028220321192876097,0.0012364646027419142
C_as0.5_vfNone_rl210.0_cw3.0,combo,slv,0.5,0.001,8,3.0,0.95,10.0,,full,0.0,False,0.00012119031451775289,0.006563300201661867,-0.006442109887144114,0.15779604334829286,0.15494845435326088,0.0028475889950319855,0.005922281625232348
C_as0.5_vfNone_rl2100.0_cw1.0,combo,slv,0.5,0.001,8,1.0,0.95,100.0,,full,0.0,False,0.004393125219065643,0.006563300201661867,-0.0021701749825962244,0.15442523379732648,0.15494845435326088,-0.0005232205559344005,0.00021568380234404183
C_as0.5_vfNone_rl2100.0_cw3.0,combo,slv,0.5,0.001,8,3.0,0.95,100.0,,full,0.0,False,0.00343943288686185,0.006563300201661867,-0.003123867314800017,0.15556953520989922,0.15494845435326088,0.0006210808566383397,3.335879576568359e-05
C_as1.0_vf0.25_rl20.0_cw1.0,combo,slv,1.0,0.001,8,1.0,0.95,0.0,0.25,full,0.0,False,-0.004150833403417309,0.006563300201661867,-0.010714133605079175,0.16958541023153026,0.15494845435326088,0.014636955878269381,0.0076740308393334865
C_as1.0_vf0.25_rl20.0_cw3.0,combo,slv,1.0,0.001,8,3.0,0.95,0.0,0.25,full,0.0,False,-0.010450308449761253,0.006563300201661867,-0.01701360865142312,0.1670903862723229,0.15494845435326088,0.012141931919062016,0.009564035305496784
C_as1.0_vf0.25_rl210.0_cw1.0,combo,slv,1.0,0.001,8,1.0,0.95,10.0,0.25,full,0.0,False,-0.004688444191277476,0.006563300201661867,-0.011251744392939342,0.15693703219277022,0.15494845435326088,0.0019885778395093423,0.002768643029771018
